date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:17:19	14/14	---M--	200	added ('OK')	text/plain	etag:%22e-5c01b2e3a6ac3%22	https://preview.colorlib.com/robots.txt		(from )
11:17:20	16807/16807	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20May%202019%2006:13:51%20GMT	https://preview.colorlib.com/theme/daren/	D:/Python/Lessons/Daren/Daren/preview.colorlib.com/theme/daren/index.html	(from )
11:17:20	1596/1596	---M--	200	added ('OK')	image/png	etag:%2263c-587f5a93344c0%22	https://preview.colorlib.com/theme/daren/img/favicon.png	D:/Python/Lessons/Daren/Daren/preview.colorlib.com/theme/daren/img/favicon.png	(from https://preview.colorlib.com/theme/daren/)
11:17:21	27374/27374	---M-Z	200	added ('OK')	text/css	etag:%226aee-5c1f9b6437107-gzip%22	https://preview.colorlib.com/theme/daren/css/bootstrap.min.css	D:/Python/Lessons/Daren/Daren/preview.colorlib.com/theme/daren/css/bootstrap.min.css	(from https://preview.colorlib.com/theme/daren/)
11:17:21	55499/55499	---M-Z	200	added ('OK')	text/css	etag:%22d8cb-5c1f9b6437107-gzip%22	https://preview.colorlib.com/theme/daren/css/animate.css	D:/Python/Lessons/Daren/Daren/preview.colorlib.com/theme/daren/css/animate.css	(from https://preview.colorlib.com/theme/daren/)
11:17:22	214/214	---M-Z	200	added ('OK')	text/css	etag:%22d6-5c1f9b6437107-gzip%22	https://preview.colorlib.com/theme/daren/css/owl.carousel.min.css	D:/Python/Lessons/Daren/Daren/preview.colorlib.com/theme/daren/css/owl.carousel.min.css	(from https://preview.colorlib.com/theme/daren/)
11:17:22	1316/1316	---M-Z	200	added ('OK')	text/css	etag:%22524-5c1f9b64380a7-gzip%22	https://preview.colorlib.com/theme/daren/css/themify-icons.css	D:/Python/Lessons/Daren/Daren/preview.colorlib.com/theme/daren/css/themify-icons.css	(from https://preview.colorlib.com/theme/daren/)
11:17:23	820/820	---M-Z	200	added ('OK')	text/css	etag:%22334-5c1f9b6437107-gzip%22	https://preview.colorlib.com/theme/daren/css/liner_icon.css	D:/Python/Lessons/Daren/Daren/preview.colorlib.com/theme/daren/css/liner_icon.css	(from https://preview.colorlib.com/theme/daren/)
11:17:24	541/541	---M-Z	200	added ('OK')	text/css	etag:%2221d-5c1f9b6437107-gzip%22	https://preview.colorlib.com/theme/daren/css/search.css	D:/Python/Lessons/Daren/Daren/preview.colorlib.com/theme/daren/css/search.css	(from https://preview.colorlib.com/theme/daren/)
11:17:24	123435/123435	---M-Z	200	added ('OK')	text/css	etag:%221e22b-5c1f9b64380a7-gzip%22	https://preview.colorlib.com/theme/daren/css/style.css	D:/Python/Lessons/Daren/Daren/preview.colorlib.com/theme/daren/css/style.css	(from https://preview.colorlib.com/theme/daren/)
11:17:24	24/24	---M--	400	error ('Bad%20Request')	text/plain	date:Sat,%2020%20Jan%202024%2006:17:31%20GMT	https://preview.colorlib.com/cdn-cgi/zaraz/s.js?z=	D:/Python/Lessons/Daren/Daren/preview.colorlib.com/cdn-cgi/zaraz/sd0d9.js	(from https://preview.colorlib.com/theme/daren/)
11:17:25	16807/16807	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20May%202019%2006:13:51%20GMT	https://preview.colorlib.com/theme/daren/index.html	D:/Python/Lessons/Daren/Daren/preview.colorlib.com/theme/daren/index-2.html	(from https://preview.colorlib.com/theme/daren/)
11:17:26	2005/2005	---M--	200	added ('OK')	image/png	etag:%227d5-587f5a93344c0%22	https://preview.colorlib.com/theme/daren/img/logo.png	D:/Python/Lessons/Daren/Daren/preview.colorlib.com/theme/daren/img/logo.png	(from https://preview.colorlib.com/theme/daren/)
